ligand_id,GPR40_Kd_M,GPR40_pKd,GPR40_dG_kcal_mol,HSA_Kd_M_dsf,HSA_pKd_dsf,HSA_Kd_M,HSA_pKd,HSA_dG_kcal_mol,OAT1_Kd_M,OAT1_pKd,OAT1_dG_kcal_mol,OAT4_Kd_M,OAT4_pKd,OAT4_dG_kcal_mol,PPARG_Kd_M,PPARG_pKd,PPARG_dG_kcal_mol,TBG_Kd_M,TBG_pKd,TBG_dG_kcal_mol,TTR_Kd_M,TTR_pKd,TTR_dG_kcal_mol,URAT1_Kd_M,URAT1_pKd,URAT1_dG_kcal_mol
055_DTXSID60188833,3.4060832589986395e-09,8.467744740260166,-12.01,1.0909210932694335e-06,5.962206660957924,1.0888556633713546e-05,4.963029685676593,-16.86,1.6097057957157293e-10,9.793253492274246,-13.89,1.6719063591014138e-08,7.776788050380485,-11.03,2.7580220860489924e-09,8.559402260346246,-12.14,9.431388637395193e-07,6.0254243588895395,-8.546,1.88960699784457e-07,6.723628511390354,-7.647,0.02761322303065532,1.5588828993101769,-2.211
056_DTXSID80310730,2.906756833809701e-07,6.536591297831141,-9.271,0.1273958588539923,0.8948446890029473,1.271546615598966,-0.10433228627838322,-8.977,7.041500730627708e-07,6.15233477131642,-8.726,1.4008182221785553e-05,4.853618217481348,-6.884,1.5676847987199422e-06,5.804741252836132,-8.233,4.34317272950117e-05,4.362192898250595,-6.187,4.037481893491323e-06,5.393889412295376,-5.761,3.706290069427211e-06,5.431060594023652,-7.703
057_DTXSID90285748,3.972179997972222e-05,4.400971079825475,-6.242,11.779861771938283,-1.0711401943528944,117.57559078508751,-2.070317169634225,-5.737,0.00021597538378072257,3.665595745596386,-5.199,0.0002921090510761853,3.5344549860886105,-5.013,0.00017832302736011865,3.7487925715206747,-5.317,0.0010774857190529146,2.9675884772485457,-4.209,6.642558279717176e-05,4.177664626537776,-4.036,4.929485730634286e-05,4.307198386198947,-6.109
058_DTXSID70880134,4.3290937016065996e-05,4.3636030139442274,-6.189,14.008593377645074,-1.1463945293617266,139.82071049155206,-2.145571504643057,-5.628,0.00017948479356151998,3.7459723401334104,-5.313,0.00036665120147263633,3.4357468875343704,-4.873,0.00015890893657740003,3.7988516786446103,-5.388,0.0011367852546908218,2.944321568303618,-4.176,4.677813237637561e-05,4.3299571214500325,-4.252,5.346314541230531e-05,4.271945493858147,-6.059
059_DTXSID40377687,4.154525495271647e-07,6.38147857153162,-9.051,0.47196770307695174,0.32608771927982405,4.7107413138704946,-0.6730892560015066,-8.044,9.457095694278198e-06,5.02424221641082,-7.126,2.7477726024632715e-05,4.561019211052708,-6.469,5.331781748450491e-06,5.273127636336867,-7.479,0.00015383216931035525,3.812952835580931,-5.408,5.677703845156742e-06,5.245827264464017,-5.551,3.1152881015630774e-06,5.506501783632963,-7.81
060_DTXSID5063235,1.8083508701886878e-09,8.742717300518406,-12.4,8.592105476120664e-05,4.065900400241353,0.0008575838129520334,3.066723424960022,-14.06,1.1786816960194564e-07,6.928603460660836,-9.827,3.360367871394695e-08,7.4736131762496045,-10.6,3.644514782358363e-08,7.438360283908806,-10.55,4.5475417474594e-06,5.342223305324835,-7.577,5.086941873749406e-07,6.293543224832595,-7.037,4.459806339375795e-06,5.350683999486628,-7.589
061_DTXSID1032646,1.3932129338392587e-07,6.855982502438789,-9.724,6.130786931179209e-07,6.212483777042084,6.1191795741443755e-06,5.213306801760753,-17.23,1.375957462618741e-08,7.861394991998406,-11.15,1.6873855414451982e-07,6.7727856765145,-9.606,1.5110206163953892e-07,6.820729610097988,-9.674,1.273536342417829e-06,5.894988657228581,-8.361,5.925598378040317e-07,6.22726778723189,-6.943,0.14676470469360545,0.8333783749365126,-1.182
062_DTXSID20379346,1.5077778493655769e-06,5.821662641159715,-8.257,0.6660234358837734,0.17651048870368194,6.647624604330442,-0.8226664865776488,-7.662,1.391751029172725e-05,4.856438448868611,-6.888,3.2007829616458634e-05,4.494743773452003,-6.375,4.9320740336470645e-06,5.306970412984035,-7.527,0.0001280488338670096,3.892624372271139,-5.521,1.1769112350988547e-05,4.929256291243633,-5.102,3.2390645627991494e-06,5.489580395309379,-7.786
063_DTXSID70379730,1.6701520201565066e-06,5.777243996810308,-8.194,1.1528366841392013,-0.061767787606198395,11.506540300776805,-1.060944762887529,-7.401,3.16461455806266e-05,4.499679178379715,-6.382,9.638079505869674e-05,4.016009495463939,-5.696,3.180064986662721e-05,4.497564004839267,-6.379,0.0001361970891875267,3.8658321740921298,-5.483,1.8452054655241225e-05,4.733955267675601,-4.825,4.452571915380067e-06,5.351389057333444,-7.59
064_DTXSID00382070,4.0173825321951665e-08,7.396056813099846,-10.49,0.02136986511583235,1.6701982190448488,0.213294057658386,0.671021243763518,-10.24,7.357017524660109e-07,6.133298209452388,-8.699,5.3927187221505465e-06,5.268192231409156,-7.472,2.6241584685803544e-07,6.581009942180548,-9.334,1.772618062387661e-05,4.751384829693027,-6.739,3.1341628867607256e-06,5.503878436398674,-5.917,3.690219552780596e-07,6.432947794349189,-9.124
