repeat,seed,model,split,r2_log,rmse_log,mae_log,r2_linear,rmse_linear,mae_linear
6,2032,ElasticNetCV,test,0.10118261864390321,0.8773362370088407,0.6249912817834641,-0.17257856145194173,0.12375107774175778,0.07425429470501722
6,2032,RandomForest,cv_train,0.171490094463717,0.831612749968834,0.6896436244583902,-0.07133361327562104,0.10949974009694219,0.059067837371310175
6,2032,RandomForest,test,0.6456720431267141,0.5508496102384098,0.4717832118629426,0.09712856418716054,0.10859028470880513,0.07116285310371744
7,2033,ElasticNetCV,cv_train,0.205282389533181,0.8116053687501156,0.6689980052670675,0.0653669749054756,0.10302760291046913,0.058029826762951715
7,2033,ElasticNetCV,test,0.4509861213510713,0.6957995323239872,0.5849965201424729,-0.16356681219327585,0.12038255225783047,0.07045466280411644
7,2033,RandomForest,cv_train,0.25088574994834867,0.7879751509139897,0.6570033504958648,-0.07327360081462997,0.11040487686227209,0.05890043943760007
7,2033,RandomForest,test,0.6607275256924128,0.5469741271854629,0.4416762190865373,0.0421411618216756,0.1092241413575537,0.06672138642050905
8,2034,ElasticNetCV,cv_train,0.2155966371221082,0.8085305046549496,0.6722044402646816,0.042955509053091645,0.09840772879910563,0.0551423815281694
8,2034,ElasticNetCV,test,0.38020397595179367,0.7192090533096898,0.5830299286408337,-0.6522529938634174,0.16635018432619994,0.09174624302642806
8,2034,RandomForest,cv_train,0.35560880654840443,0.7328270383234918,0.6162336820679101,0.04104541938516704,0.09850588196432036,0.05368882712368788
8,2034,RandomForest,test,0.6223219417755159,0.5614248477822216,0.4670810758694831,0.05742110289058544,0.12564461180453945,0.07779700569684696
9,2035,ElasticNetCV,cv_train,0.108154815051275,0.8664841152675808,0.7180094021691569,-0.02578294221916022,0.10726425723727076,0.05957625575875868
9,2035,ElasticNetCV,test,0.40808704100630533,0.6984867316776773,0.5689226130414683,-0.424733030995901,0.13603202672812367,0.07889106512930001
9,2035,RandomForest,cv_train,0.32296992249287326,0.754952888287262,0.6326863522243497,-0.08360110941954235,0.1102457899911256,0.058110938902030757
9,2035,RandomForest,test,0.6092393789594021,0.5675245228209732,0.4494654387423814,0.04831168756173432,0.11117875079248365,0.06933281060111661
