ligand_id,C_ref_M,fu,T4_free_baseline_M,T4_free_with_pfas_M,T4_free_ratio_change,TTII_ref,RTII_ref_equal,RTII_ref_weighted,RTII_ref,OBI_ref,DTXSID,preferred_name,smiles_anionic
253_DTXSID50382621,1e-07,0.5968741764233763,1.6000000125870888e-11,2.074633329129938e-11,0.29664582050558874,0.16805165704733294,0.7669741354490217,0.8076643440504133,0.8076643440504133,0.4878580005488731,DTXSID50382621,7:3 Fluorotelomer alcohol,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
254_DTXSID4073120,1e-07,0.9999556565144994,1.6000000125870888e-11,1.6013065145870086e-11,0.0008165637435260525,0.0006027690186291909,0.008789826683237906,0.008442347545618761,0.008442347545618761,0.004522558282123976,DTXSID4073120,Perfluorobutyl methyl ether,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
255_DTXSID00312357,1e-07,0.9999908925884637,1.6000000125870888e-11,1.6008727080674137e-11,0.0005454346709121757,0.0004027507437521761,0.0018040588066540076,0.0018246888551412003,0.0018246888551412003,0.0011137197994466883,DTXSID00312357,"Bis(2,2,2-trifluoroethyl)sulfite",O=S(OCC(F)(F)F)OCC(F)(F)F
256_DTXSID1037303,1e-07,0.9798903207704789,1.6000000125870888e-11,1.6260809564272453e-11,0.016300589771862238,0.0118349955529635,0.3282528498006828,0.32957000520938823,0.32957000520938823,0.17070250038117588,DTXSID1037303,Perfluoroheptanoic acid,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
257_DTXSID9059915,1e-07,0.9999463378953293,1.6000000125870888e-11,1.6015599372565246e-11,0.0009749529107274942,0.000719560269790114,0.011865696750707927,0.011635260862911587,0.011635260862911587,0.006177410566350851,DTXSID9059915,Heptafluorobutyryl Chloride,O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F
258_DTXSID30382063,1e-07,0.9999211880665031,1.6000000125870888e-11,1.6026401639024354e-11,0.001650094559110487,0.0012169567279889664,0.009013321849670915,0.008933087286713652,0.008933087286713652,0.005075022007351309,DTXSID30382063,"Perfluoro-3,6-dioxaheptanoic acid",O=C([O-])C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F
259_DTXSID50880495,1e-07,0.9999877196045684,1.6000000125870888e-11,1.600508091250674e-11,0.0003175491622426502,0.00023454272571513124,0.0017757390456861813,0.0017301019589762326,0.0017301019589762326,0.0009823223423456819,DTXSID50880495,2H-Hexafluoropropyl allyl ether,C=CCOC(F)(F)C(F)C(F)(F)F
260_DTXSID70379295,1e-07,0.9998144612477807,1.6000000125870888e-11,1.6056230550987044e-11,0.003514401542112208,0.0025864589077125993,0.019542420993745,0.02177970440293378,0.02177970440293378,0.01218308165532319,DTXSID70379295,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",OC(O)(C(F)C(O)(O)C(F)(F)F)C(F)(F)F
261_DTXSID9059919,1e-07,0.9975119322955461,1.6000000125870888e-11,1.6073845830888445e-11,0.004615356527288669,0.0033941542854833,0.04391166898748513,0.05454302410122852,0.05454302410122852,0.02896858919335591,DTXSID9059919,1-Bromopentadecafluoroheptane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
262_DTXSID20880129,1e-07,0.9996581313890756,1.6000000125870888e-11,1.6050548524049193e-11,0.00315927486129027,0.0023262291353365445,0.04970715674318941,0.05046901679262294,0.05046901679262294,0.026397622963979742,DTXSID20880129,"1H,1H-Perfluoro-1-pentanol",OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
263_DTXSID40381269,1e-07,0.9998843184466069,1.6000000125870888e-11,1.6024010893644915e-11,0.0015006729740710417,0.001106961994328572,0.01149630857003088,0.01114919410946345,0.01114919410946345,0.006128078051896011,DTXSID40381269,3-(Perfluorobutyl)-1-propanol,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
264_DTXSID40382115,1e-07,0.9999949488352179,1.6000000125870888e-11,1.600400239425426e-11,0.0002501417719929945,0.00018476765093072785,0.0010845809106634404,0.0010608765080096095,0.0010608765080096095,0.0006228220794701687,DTXSID40382115,Methyl 3-chloroperfluoropropanoate,COC(=O)C(F)(F)C(F)(F)Cl
265_DTXSID20881338,1e-07,0.9596877472482014,1.6000000125870888e-11,1.6956581772475943e-11,0.05978635244248088,0.041510545930029744,0.527396661408217,0.5419785079147554,0.5419785079147554,0.2917445269223926,DTXSID20881338,3-Methoxyperfluoro(2-methylpentane),COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
266_DTXSID5073901,1e-07,0.999997421654779,1.6000000125870888e-11,1.6002672345649672e-11,0.00016701373486016326,0.00012337684666101695,0.000547961441327593,0.0005434160785016337,0.0005434160785016337,0.0003333964625813253,DTXSID5073901,"1,1,1,3,3-Pentafluorobutane",CC(F)(F)CC(F)(F)F
267_DTXSID70869964,1e-07,0.9999935494538241,1.6000000125870888e-11,1.6005215845638084e-11,0.00032598248288526085,0.00024076657455804278,0.0009168641446000401,0.0009147307568031967,0.0009147307568031967,0.0005777486656806198,DTXSID70869964,3-(Perfluoroethyl)propanol,OCCCC(F)(F)C(F)(F)F
268_DTXSID20880124,1e-07,0.9999857564388954,1.6000000125870888e-11,1.6004705476646557e-11,0.00029408442116581236,0.000217215736211016,0.0013909574875761103,0.001378202734056428,0.001378202734056428,0.000797709235133722,DTXSID20880124,"N,N-Diethyl-2H-perfluoropropanamine",CCN(CC)C(F)(F)C(F)C(F)(F)F
269_DTXSID3068465,1e-07,0.9999748601688895,1.6000000125870888e-11,1.6011975464991223e-11,0.0007484586891329023,0.0005525389415128857,0.003095082946129207,0.0031920241015730624,0.0031920241015730624,0.0018722815215429741,DTXSID3068465,"1H,1H-Perfluoropropyl methacrylate",C=C(C)C(=O)OCC(F)(F)C(F)(F)F
270_DTXSID80389027,1e-07,0.979206341500507,1.6000000125870888e-11,1.6440307368270618e-11,0.027519202433491513,0.01975827276073154,0.4488852954476046,0.580325354178725,0.580325354178725,0.30004181346972825,DTXSID80389027,N-Methylperfluoroheptanamide,CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
271_DTXSID2044630,1e-07,0.9977153302389714,1.6000000125870888e-11,1.6110893076870526e-11,0.006930809382953199,0.005082737466276705,0.061819362346527,0.06509776469473064,0.06509776469473064,0.03509025108050367,DTXSID2044630,Hexafluoropropene oxide trimer,O=C(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
272_DTXSID40883576,1e-07,0.999993037141038,1.6000000125870888e-11,1.6004231075328336e-11,0.00026443433901023186,0.00019532284950211226,0.0009780519500628305,0.0009708979717342544,0.0009708979717342544,0.0005831104106181833,DTXSID40883576,Hexafluoro-2-methyl-2-propanol,CC(O)(C(F)(F)F)C(F)(F)F
273_DTXSID60663110,1e-07,0.9954954501302585,1.6000000125870888e-11,1.6203163533035077e-11,0.012697712847869797,0.009258641923002105,0.25733392896673196,0.24488992399011353,0.24488992399011353,0.12707428295655782,DTXSID60663110,Perfluoro-4-isopropoxybutanoic acid,O=C([O-])C(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)F
274_DTXSID3047558,1e-07,0.9979528301079821,1.6000000125870888e-11,1.6099468138008895e-11,0.006216750709718739,0.0045612480420865196,0.04040440905602547,0.04487821587002262,0.04487821587002262,0.02471973195605457,DTXSID3047558,2-(Perfluorohexyl)ethyl methacrylate,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
275_DTXSID10379991,1e-07,0.9867236472690132,1.6000000125870888e-11,1.6321719385103962e-11,0.020107453543883234,0.014545346174145725,0.16231625923536905,0.17128768007988174,0.17128768007988174,0.09291651312701373,DTXSID10379991,3-(Perfluorooctyl)propanol,OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
276_DTXSID10547335,1e-07,0.9998614259417669,1.6000000125870888e-11,1.6021939364563313e-11,0.0013712024074894115,0.0010115422893726132,0.018508898272602773,0.018668239010684158,0.018668239010684158,0.009839890650028386,DTXSID10547335,Methyl 4H-perfluorobutyl ketone,CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F
277_DTXSID40337443,1e-07,0.9996270097176966,1.6000000125870888e-11,1.6055979618201382e-11,0.0034987182431317327,0.002575521244799417,0.08194520741753529,0.07629673011404965,0.07629673011404965,0.03943612567942453,DTXSID40337443,3-(Perfluoroisopropyl)propanol,OCCCC(F)(C(F)(F)F)C(F)(F)F
278_DTXSID60379880,1e-07,0.975514133866917,1.6000000125870888e-11,1.6966713146615576e-11,0.06041956332122651,0.04200407557833507,0.45814969115737253,0.47800884231270496,0.47800884231270496,0.26000645894552,DTXSID60379880,(Perfluoro-3-methylbutyl)-2-hydroxypropyl acrylate,C=CC(=O)OCC(O)CC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
279_DTXSID50379359,1e-07,0.9994901267470873,1.6000000125870888e-11,1.6081072200435646e-11,0.0050670046204356126,0.003722466073775001,0.0589074434054142,0.05680192203795923,0.05680192203795923,0.030262194055867116,DTXSID50379359,2-Vinylperfluorobutane,C=CC(F)(C(F)(F)F)C(F)(F)C(F)(F)F
280_DTXSID30382048,1e-07,0.9995156673261768,1.6000000125870888e-11,1.6107742271742607e-11,0.006733884064007491,0.0049403389686652885,0.06781113364336415,0.07155573352375794,0.07155573352375794,0.03824803624621161,DTXSID30382048,"3-(Perfluoro-1-propyl)-1,2-propanediol",OCC(O)CC(F)(F)C(F)(F)C(F)(F)F
281_DTXSID30382169,1e-07,0.9953787020921765,1.6000000125870888e-11,1.6216254787337907e-11,0.013515916235359908,0.0098449496071111,0.14225881585584177,0.1375973952437746,0.1375973952437746,0.07372117242544285,DTXSID30382169,"2,3,3,3-Tetrafluoro-2-(perfluoropentoxy)propan-1-ol",OCC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
282_DTXSID6061022,1e-07,0.9999862831650017,1.6000000125870888e-11,1.6011532360948885e-11,0.0007207646867046145,0.0005321060635066037,0.001983233745883897,0.002142844869774308,0.002142844869774308,0.0013374754666404557,DTXSID6061022,Perfluorosuccinic anhydride,O=C1OC(=O)C(F)(F)C1(F)F
283_DTXSID40379282,1e-07,0.999975151525089,1.6000000125870888e-11,1.6010257230192342e-11,0.0006410690150476797,0.00047332598701515616,0.003701029050117635,0.003613866149652652,0.003613866149652652,0.002043596068333904,DTXSID40379282,"3H-Perfluoropentane-2,4-dione",O=C(C(F)C(=O)C(F)(F)F)C(F)(F)F
284_DTXSID40290781,1e-07,0.9999681202110221,1.6000000125870888e-11,1.6016586133460464e-11,0.0010366254661934734,0.0007650393785445397,0.007617654149358642,0.007640939762867617,0.007640939762867617,0.004202989570706079,DTXSID40290781,Perfluorobutyrylamidine,N=C(N)C(F)(F)C(F)(F)C(F)(F)F
285_DTXSID6062599,1e-07,0.9997085206085365,1.6000000125870888e-11,1.6037577454142142e-11,0.0023485829984772454,0.0017308747979303267,0.050762990370418794,0.050578895697337964,0.050578895697337964,0.026154885247634145,DTXSID6062599,Perfluoropentanoic acid,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
286_DTXSID5059874,1e-07,0.9537815065673771,1.6000000125870888e-11,1.6687015001792822e-11,0.042938429407327255,0.030397000282772965,0.5519813926215998,0.6209483483113915,0.6209483483113915,0.3256726742970822,DTXSID5059874,Perfluoromethylcyclohexane,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
287_DTXSID00380798,1e-07,0.9990874873802494,1.6000000125870888e-11,1.6096119675168562e-11,0.006007471783844282,0.004408506489284436,0.12356190063354937,0.1247826099825349,0.1247826099825349,0.06459555823590966,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO
288_DTXSID5060982,1e-07,0.9999880271979841,1.6000000125870888e-11,1.6006837766013858e-11,0.000427352505573694,0.00031560548472692385,0.0014290434680263378,0.0014636815036088088,0.0014636815036088088,0.0008896434941678663,DTXSID5060982,Heptafluoro-2-iodopropane,FC(F)(F)C(F)(I)C(F)(F)F
289_DTXSID70379270,1e-07,0.9998821755411976,1.6000000125870888e-11,1.6011494016510145e-11,0.0007183681593022265,0.0005303595027880231,0.017603026211738478,0.016905055129832407,0.016905055129832407,0.008717707316310216,DTXSID70379270,1-Propenylperfluoropropane,CC=CC(F)(F)C(F)(F)C(F)(F)F
290_DTXSID90446276,1e-07,0.5063767820638432,1.6000000125870888e-11,1.6530799504721475e-11,0.03317496091717662,0.02370505205527955,0.46676269244299085,0.5769464852677996,0.5769464852677996,0.30032576866153954,DTXSID90446276,(Perfluorooctyl)propanoyl chloride,O=C(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
291_DTXSID5060986,1e-07,0.9999097449974893,1.6000000125870888e-11,1.6014149290199954e-11,0.0008843227636097564,0.0006527420181082354,0.006754835172476918,0.007283783474488596,0.007283783474488596,0.003968262746298416,DTXSID5060986,"1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate",C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)C=C
292_DTXSID5061954,1e-07,0.00012200801541156283,1.6000000125870888e-11,1.600083934221175e-11,5.2451020891264775e-05,3.875192590902871e-05,0.29851479408032827,0.447656003742963,0.447656003742963,0.223847377834436,DTXSID5061954,11-H-Perfluoroundecanoic acid,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
293_DTXSID8074786,1e-07,0.9999936685624015,1.6000000125870888e-11,1.6003892403659845e-11,0.00024326735989609348,0.0001796912203378523,0.0009266267355016958,0.0008793308255133421,0.0008793308255133421,0.0005295110229255973,DTXSID8074786,"(1H,1H-Perfluoroethyl)(2H-perfluoroethyl)ether",FC(F)C(F)(F)OCC(F)(F)F
294_DTXSID10461880,1e-07,0.9999676047781395,1.6000000125870888e-11,1.6011752241240636e-11,0.0007345072048309248,0.0005422497117662019,0.0032114678576398797,0.003330991791571046,0.003330991791571046,0.0019366207516686238,DTXSID10461880,"1H,2H-Hexafluorocyclopentene",FC1(F)C=CC(F)(F)C1(F)F
295_DTXSID90448210,1e-07,0.9996566794616949,1.6000000125870888e-11,1.6027955086173056e-11,0.0017471850051405625,0.0012884839760013375,0.01313830465944397,0.014210893038240576,0.014210893038240576,0.007749688507120957,DTXSID90448210,2H-Perfluoro(2-methylpentane),FC(F)(F)C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
296_DTXSID30891564,1e-07,0.9908843277270345,1.6000000125870888e-11,1.7070504137706165e-11,0.06690650021335602,0.045964126451238645,0.3274167120551534,0.3451858473364318,0.3451858473364318,0.19557498689383523,DTXSID30891564,4:2 Fluorotelomer sulfonic acid,O=S(=O)([O-])CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
297_DTXSID60381968,1e-07,0.9999470516976875,1.6000000125870888e-11,1.6037950489078418e-11,0.0023718976818110638,0.0017477502087577697,0.010544420676748474,0.010362423807445648,0.010362423807445648,0.006055087008101708,DTXSID60381968,2(2H-Perfluoro-2-propyl)acetic acid,O=C([O-])CC(C(F)(F)F)C(F)(F)F
